display  D   display_settings.c:388  _al_score_display_settings       [   0.09201] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09202] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09203] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09205] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09206] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09207] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09209] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09210] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09212] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09213] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09214] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09215] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09217] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09218] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09220] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09221] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09222] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09223] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09225] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09226] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09228] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09229] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.09230] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.09231] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.09233] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.09234] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
